"site_name","year","trap_type","data_sources","catch","effort","cpue","latitude","longitude"
"3 Crabs Road",2024,"Fukui","WDFW",0,24,0,48.1516914791667,-123.123517847222
"3 Crabs Road",2024,"Minnow","WDFW",0,24,0,48.1516914791667,-123.123517847222
"3 Crabs Road",2024,"Shrimp","WDFW",0,3,0,48.1516914791667,-123.123517847222
"401 - L&C Tree Farms",2021,"Minnow","WDFW",0,1,0,46.26189,-123.84285
"Aberdeen",2021,"Fukui","WSG",23,4,5.75,46.96685,-123.81329
"Aberdeen",2022,"Fukui","WSG",10,4,2.5,46.96685,-123.81329
"Aberdeen",2023,"Fukui","WSG",13,4,3.25,46.96685,-123.81329
"Aberdeen Historic Port",2022,"Fukui","WDFW",32,20,1.6,46.9743052731667,-123.797987746667
"Aberdeen Historic Port",2022,"Minnow","WDFW",4,20,0.2,46.9743052731667,-123.797987746667
"Aberdeen Historic Port",2022,"Shrimp","WDFW",248,40,6.2,46.9743052731667,-123.797987746667
"Alder Creek",2021,"Fukui","WDFW",3,16,0.1875,46.9713415625,-123.80455540625
"Alder Creek",2021,"Minnow","WDFW",10,16,0.625,46.9713415625,-123.80455540625
"Alder St",2020,"Fukui","WDFW",80,18,4.44444444444444,46.7075528277778,-123.992911938889
"Alder St",2020,"Minnow","WDFW",59,20,2.95,46.7075528277778,-123.992911938889
"Alice Bay Sentinel Site",2019,"Fukui","WSG, Padilla",0,16,0,48.5567286470588,-122.486595617647
"Alice Bay Sentinel Site",2019,"Minnow","Padilla",0,12,0,48.5567286470588,-122.486595617647
"Alice Bay Sentinel Site",2020,"Fukui","WSG, Padilla",0,16,0,48.5567286470588,-122.486595617647
"Alice Bay Sentinel Site",2020,"Minnow","Padilla",0,12,0,48.5567286470588,-122.486595617647
"Alice Bay Sentinel Site",2021,"Fukui","WSG, Padilla",0,16,0,48.5567286470588,-122.486595617647
"Alice Bay Sentinel Site",2021,"Minnow","Padilla",0,12,0,48.5567286470588,-122.486595617647
"Alice Bay Sentinel Site",2022,"Fukui","WSG, Padilla",0,16,0,48.5567286470588,-122.486595617647
"Alice Bay Sentinel Site",2022,"Minnow","Padilla",0,12,0,48.5567286470588,-122.486595617647
"Alice Bay Sentinel Site",2023,"Fukui","WSG, Padilla",0,16,0,48.5567286470588,-122.486595617647
"Alice Bay Sentinel Site",2023,"Minnow","Padilla",0,12,0,48.5567286470588,-122.486595617647
"Alice Bay Sentinel Site",2024,"Fukui","Padilla",0,12,0,48.5567286470588,-122.486595617647
"Alice Bay Sentinel Site",2024,"Minnow","Padilla",0,12,0,48.5567286470588,-122.486595617647
"Anderson Island",2017,"Fukui","WSG",0,4,0,47.1458712,-122.7319221
"Anderson Island",2018,"Fukui","WSG",0,4,0,47.1458712,-122.7319221
"Anderson Island",2019,"Fukui","WSG",0,4,0,47.1458712,-122.7319221
"Anderson Island",2020,"Fukui","WSG",0,4,0,47.1458712,-122.7319221
"Anderson Island",2021,"Fukui","WSG",0,4,0,47.1458712,-122.7319221
"Anderson Island",2022,"Fukui","WSG",0,4,0,47.1458712,-122.7319221
"Anderson Island",2023,"Fukui","WSG",0,4,0,47.1458712,-122.7319221
"Argyle Lagoon",2023,"Fukui","WDFW",0,12,0,48.5201000933333,-123.012653902778
"Argyle Lagoon",2023,"Minnow","WDFW",0,12,0,48.5201000933333,-123.012653902778
"Argyle Lagoon",2023,"Shrimp","WDFW",0,3,0,48.5201000933333,-123.012653902778
"Baker Bay - North",2021,"Fukui","WDFW",0,5,0,46.312729,-124.01022959
"Baker Bay - North",2021,"Minnow","WDFW",0,5,0,46.312729,-124.01022959
"Baldwin Slough",2021,"Fukui","WDFW",3,20,0.15,46.44786565,-123.95381655
"Baldwin Slough",2021,"Minnow","WDFW",1,20,0.05,46.44786565,-123.95381655
"Bay Center",2021,"Fukui","WSG",10,4,2.5,46.63249,-123.92324
"Bay View State Park",2019,"Fukui","Padilla",0,3,0,48.487391,-122.484662
"Bay View State Park",2019,"Minnow","Padilla",0,3,0,48.487391,-122.484662
"Bay View State Park",2021,"Fukui","Padilla",0,3,0,48.487391,-122.484662
"Bay View State Park",2021,"Minnow","Padilla",0,3,0,48.487391,-122.484662
"Bayshore",2024,"Fukui","WDFW",0,13,0,47.2436390892308,-123.042402738462
"Bayshore",2024,"Minnow","WDFW",0,13,0,47.2436390892308,-123.042402738462
"Baywater",2023,"Shrimp","WDFW",0,21,0,47.8091745357778,-122.736487063333
"Baywater",2024,"Shrimp","WDFW",0,10,0,47.8091745357778,-122.736487063333
"Beardslee Slough",2022,"Fukui","WDFW",25,30,0.833333333333333,46.8671611788889,-124.036501492222
"Beardslee Slough",2022,"Minnow","WDFW",7,30,0.233333333333333,46.8671611788889,-124.036501492222
"Beardslee Slough",2022,"Shrimp","WDFW",3,2,1.5,46.8671611788889,-124.036501492222
"Belfair State Park",2023,"Fukui","WDFW",0,15,0,47.4276686473333,-122.879680585556
"Belfair State Park",2023,"Minnow","WDFW",0,15,0,47.4276686473333,-122.879680585556
"Belfair State Park",2023,"Shrimp","WDFW",0,2,0,47.4276686473333,-122.879680585556
"Best Lagoon",2016,"Fukui","WSG",0,4,0,47.6469551,-122.6830086
"Best Lagoon",2017,"Fukui","WSG",0,4,0,47.6469551,-122.6830086
"Best Lagoon",2018,"Fukui","WSG",0,4,0,47.6469551,-122.6830086
"Best Lagoon",2019,"Fukui","WSG",0,4,0,47.6469551,-122.6830086
"Best Lagoon",2020,"Fukui","WSG",0,4,0,47.6469551,-122.6830086
"Best Lagoon",2021,"Fukui","WSG",0,4,0,47.6469551,-122.6830086
"Best Lagoon",2022,"Fukui","WSG",0,4,0,47.6469551,-122.6830086
"Best Lagoon",2023,"Fukui","WSG",0,4,0,47.6469551,-122.6830086
"Big Beef Harbor",2023,"Fukui","WDFW",6,52,0.115384615384615,47.6555652307469,-122.782666596816
"Big Beef Harbor",2023,"Minnow","WDFW",12,46,0.260869565217391,47.6555652307469,-122.782666596816
"Big Beef Harbor",2023,"Shrimp","WDFW",25,8,3.125,47.6555652307469,-122.782666596816
"Big Beef Harbor",2024,"Fukui","WDFW",0,35,0,47.6555652307469,-122.782666596816
"Big Beef Harbor",2024,"Minnow","WDFW",0,37,0,47.6555652307469,-122.782666596816
"Big Beef Harbor",2024,"Shrimp","WDFW",3,24,0.125,47.6555652307469,-122.782666596816
"Big Indian Slough",2017,"Fukui","WSG",0,4,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2018,"Fukui","WSG, Padilla",0,52,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2018,"Minnow","Padilla",0,70,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2019,"Fukui","WSG, Padilla",0,19,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2019,"Minnow","Padilla",0,15,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2020,"Fukui","WSG, Padilla",0,42,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2020,"Minnow","Padilla",0,41,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2021,"Fukui","WSG, Padilla",0,38,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2021,"Minnow","Padilla",0,55,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2022,"Fukui","WSG, Padilla",0,30,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2022,"Minnow","Padilla",0,26,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2022,"Shrimp","Padilla",0,7,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2023,"Fukui","WSG, Padilla",0,16,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2023,"Minnow","Padilla",0,12,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2024,"Fukui","Padilla",0,32,0,48.4552107608696,-122.473711282609
"Big Indian Slough",2024,"Minnow","Padilla",1,52,0.0192307692307692,48.4552107608696,-122.473711282609
"Big Indian Slough",2024,"Shrimp","Padilla",0,4,0,48.4552107608696,-122.473711282609
"Big Indian Slough Mouth",2019,"Fukui","Padilla",0,3,0,48.468352,-122.47419
"Big Indian Slough Mouth",2019,"Minnow","Padilla",0,3,0,48.468352,-122.47419
"Big Indian Slough Mouth",2021,"Fukui","Padilla",3,91,0.032967032967033,48.468352,-122.47419
"Big Indian Slough Mouth",2021,"Minnow","Padilla",1,168,0.00595238095238095,48.468352,-122.47419
"Big Indian Slough Mouth",2022,"Fukui","Padilla",0,17,0,48.468352,-122.47419
"Big Indian Slough Mouth",2022,"Minnow","Padilla",0,17,0,48.468352,-122.47419
"Big Indian Slough Mouth",2022,"Shrimp","Padilla",0,6,0,48.468352,-122.47419
"Big Indian Slough Mouth",2023,"Fukui","Padilla",1,86,0.0116279069767442,48.468352,-122.47419
"Big Indian Slough Mouth",2023,"Minnow","Padilla",0,85,0,48.468352,-122.47419
"Big Indian Slough Mouth",2023,"Shrimp","Padilla",0,23,0,48.468352,-122.47419
"Big Indian Slough Mouth",2024,"Fukui","Padilla",1,94,0.0106382978723404,48.468352,-122.47419
"Big Indian Slough Mouth",2024,"Minnow","Padilla",1,164,0.00609756097560976,48.468352,-122.47419
"Big Indian Slough Mouth",2024,"Shrimp","Padilla",3,40,0.075,48.468352,-122.47419
"Big Slough",2022,"Shrimp","WDFW",17,4,4.25,46.8537775,-124.054845
"Billy Frank Jr. Nisqually NWR",2021,"Fukui","WDFW",0,60,0,47.0825185916667,-122.694357475
"Billy Frank Jr. Nisqually NWR",2021,"Minnow","WDFW",0,80,0,47.0825185916667,-122.694357475
"Birch Point",2021,"Fukui","WDFW",0,20,0,48.94037715,-122.8214232
"Birch Point",2021,"Minnow","WDFW",0,20,0,48.94037715,-122.8214232
"Bishops Point",2018,"Fukui","WDFW",0,6,0,48.045385022609,-122.714150642276
"Bishops Point",2018,"Minnow","WDFW",0,6,0,48.045385022609,-122.714150642276
"Bishops Point",2023,"Fukui","WDFW",0,13,0,48.045385022609,-122.714150642276
"Bishops Point",2023,"Minnow","WDFW",0,13,0,48.045385022609,-122.714150642276
"Bishops Point",2023,"Shrimp","WDFW",1,5,0.2,48.045385022609,-122.714150642276
"Bishops Point",2024,"Fukui","WDFW",0,10,0,48.045385022609,-122.714150642276
"Bishops Point",2024,"Minnow","WDFW",0,10,0,48.045385022609,-122.714150642276
"Bishops Point",2024,"Shrimp","WDFW",0,2,0,48.045385022609,-122.714150642276
