"site","zone_id","zone"
"DFO::gallagherslough",1,"Zone 1"
"DFO::portsanjuan",1,"Zone 1"
"DFO::rochecove",2,"Zone 2"
"DNWR::Dungeness Spit Base",3,"Zone 3"
"DNWR::Graveyard Spit East (Lagoon)",3,"Zone 3"
"DNWR::Graveyard Spit West (Channel)",3,"Zone 3"
"Makah::Madbear",1,"Zone 1"
"Makah::Makah Bay",1,"Zone 1"
"Makah::Neah Bay",1,"Zone 1"
"Makah::Pillar Point",1,"Zone 1"
"Makah::Tatoosh Island",1,"Zone 1"
"Makah::Tsoo-Yess River",1,"Zone 1"
"Makah::Wa'atch Point",1,"Zone 1"
"Makah::Wa'atch River",1,"Zone 1"
"WDFW::3 Crabs Road",3,"Zone 3"
"WDFW::Argyle Lagoon",3,"Zone 3"
"WDFW::Bayshore",11,"Zone 11"
"WDFW::Baywater",7,"Zone 7"
"WDFW::Belfair State Park",10,"Zone 10"
"WDFW::Big Beef Harbor",9,"Zone 9"
"WDFW::Billy Frank Jr. Nisqual",11,"Zone 11"
"WDFW::Billy Frank Jr. Nisqually NWR",11,"Zone 11"
"WDFW::Bishops Point",6,"Zone 6"
"WDFW::Blakely Harbor",14,"Zone 14"
"WDFW::Boat Haven",2,"Zone 2"
"WDFW::Boat Haven Marina",6,"Zone 6"
"WDFW::Bremerton Yacht Club",12,"Zone 12"
"WDFW::Bremerton Yacht Club Lagoon",12,"Zone 12"
"WDFW::Campbell Slough",NA,NA
"WDFW::Chapman Cove",11,"Zone 11"
"WDFW::Chicken Coop Creek",5,"Zone 5"
"WDFW::Chico Creek",12,"Zone 12"
"WDFW::Chimacum Creek",6,"Zone 6"
"WDFW::Clallam River",1,"Zone 1"
"WDFW::Colony Creek",4,"Zone 4"
"WDFW::Conference Center Lagoon",9,"Zone 9"
"WDFW::Cultus Bay",7,"Zone 7"
"WDFW::Dabob Bay NAP",8,"Zone 8"
"WDFW::Davison Head",3,"Zone 3"
"WDFW::Deer Lagoon",6,"Zone 6"
"WDFW::Dewatto",10,"Zone 10"
"WDFW::Discovery Bay - South",5,"Zone 5"
"WDFW::Dosewallips",9,"Zone 9"
"WDFW::Driftwood Key Marina",7,"Zone 7"
"WDFW::Duckabush",9,"Zone 9"
"WDFW::Dungeness Landing",3,"Zone 3"
"WDFW::East Westcott Bay",3,"Zone 3"
"WDFW::Edison River",4,"Zone 4"
"WDFW::Edison Slough",4,"Zone 4"
"WDFW::Edmonds Marina",7,"Zone 7"
"WDFW::Fairmont",5,"Zone 5"
"WDFW::Fairmount Marsh",5,"Zone 5"
"WDFW::False Bay",3,"Zone 3"
"WDFW::Fidalgo Bay",4,"Zone 4"
"WDFW::Fir Island Farms",4,"Zone 4"
"WDFW::Foulweather Bluff",7,"Zone 7"
"WDFW::Gorst Creek",13,"Zone 13"
"WDFW::Gorst Lagoon",13,"Zone 13"
"WDFW::Great Peninsula Conservancy",10,"Zone 10"
"WDFW::Hama Hama",10,"Zone 10"
"WDFW::Henry Island - Eastern",3,"Zone 3"
"WDFW::Henry Island - Eastern Marsh",3,"Zone 3"
"WDFW::Henry Island Preserve",3,"Zone 3"
"WDFW::Indian Island Lagoon",6,"Zone 6"
"WDFW::Irondale Beach Park",6,"Zone 6"
"WDFW::Jimmycomelately Creek",5,"Zone 5"
"WDFW::Joe Leary",4,"Zone 4"
"WDFW::Kala Point",6,"Zone 6"
"WDFW::Linger Longer",8,"Zone 8"
"WDFW::Livingston Bay",6,"Zone 6"
"WDFW::Long's Lagoon",5,"Zone 5"
"WDFW::Long Lagoon",5,"Zone 5"
"WDFW::Long Spit",8,"Zone 8"
"WDFW::March's Point",4,"Zone 4"
"WDFW::Maynard Lagoon",5,"Zone 5"
"WDFW::McKinley Lagoon",2,"Zone 2"
"WDFW::Middle",4,"Zone 4"
"WDFW::Misery Point Lagoon",9,"Zone 9"
"WDFW::Mutiny Bay",6,"Zone 6"
"WDFW::Mystery Bay",6,"Zone 6"
"WDFW::Nick's Lagoon",9,"Zone 9"
"WDFW::Nisqually Reserve",11,"Zone 11"
"WDFW::North Quilcene Bay",8,"Zone 8"
"WDFW::Northeast",4,"Zone 4"
"WDFW::Northern Marsh",8,"Zone 8"
"WDFW::Oak Bay",6,"Zone 6"
"WDFW::Penn Cove",6,"Zone 6"
