"site","site_name","zone_id","zone"
"WSG::108","Bremerton Yacht Club",12,"Zone 12"
"WSG::128","Nick's Lagoon",9,"Zone 9"
"WSG::133","Best Lagoon",12,"Zone 12"
"WSG::138","North Duckabush",9,"Zone 9"
"WSG::153","Kiana Lodge",7,"Zone 7"
"WSG::161","Zelatched Point",8,"Zone 8"
"WSG::172","Point Julia",7,"Zone 7"
"WSG::173","Doe Kag Wats",7,"Zone 7"
"WSG::177","Carpenter Creek",7,"Zone 7"
"WSG::198","Discovery Bay",5,"Zone 5"
"WSG::199","Jimmycomelately Creek",5,"Zone 5"
"WSG::201","Indian Island Lagoon",6,"Zone 6"
"WSG::204","Kala Lagoon",6,"Zone 6"
"WSG::207","Washington Harbor",3,"Zone 3"
"WSG::214","Dungeness Landing",3,"Zone 3"
"WSG::219","Pysht",1,"Zone 1"
"WSG::250","Butterball Cove",11,"Zone 11"
"WSG::277","Titlow Lagoon",11,"Zone 11"
"WSG::3","Anderson Island",11,"Zone 11"
"WSG::306","Deer Lagoon",6,"Zone 6"
"WSG::308","Hancock Lake",6,"Zone 6"
"WSG::311","Penn Cove",6,"Zone 6"
"WSG::322","Lone Tree Lagoon",4,"Zone 4"
"WSG::323","Kiket Lagoon",4,"Zone 4"
"WSG::330","Mud Bay",4,"Zone 4"
"WSG::341","Crandall Spit",4,"Zone 4"
"WSG::349","Shaw Island",4,"Zone 4"
"WSG::371","Double Cove",4,"Zone 4"
"WSG::378","Big Indian Slough",4,"Zone 4"
"WSG::379","Biomonitoring",4,"Zone 4"
"WSG::380","Fidalgo Trestle",4,"Zone 4"
"WSG::381","Weavering Spit",4,"Zone 4"
"WSG::382","Sullivan Minor",4,"Zone 4"
"WSG::383","Graveyard Spit East (Lagoon)",3,"Zone 3"
"WSG::384","Graveyard Spit West (Channel)",3,"Zone 3"
"WSG::385","Dungeness Spit Base",3,"Zone 3"
"WSG::386","Sharpes Corner",4,"Zone 4"
"WSG::503","Crockett Lake",6,"Zone 6"
"WSG::508","Race Lagoon",6,"Zone 6"
"WSG::516","Iverson Spit",6,"Zone 6"
"WSG::526","Swinomish Channel",4,"Zone 4"
"WSG::527","Swinomish Casino",4,"Zone 4"
"WSG::528","Shore Trail",4,"Zone 4"
"WSG::529","Alice Bay",4,"Zone 4"
"WSG::533","Westcott Bay",3,"Zone 3"
"WSG::536","Third Lagoon",3,"Zone 3"
"WSG::540","Spencer Spit",4,"Zone 4"
"WSG::541","Cypress Island",4,"Zone 4"
"WSG::552","Elger Bay",6,"Zone 6"
"WSG::553","Blakely Harbor",14,"Zone 14"
"WSG::566","Kennedy Creek",11,"Zone 11"
"WSG::579","Point Heyer",11,"Zone 11"
"WSG::581","Rabb's Lagoon",11,"Zone 11"
"WSG::590","Lagoon Point Community",6,"Zone 6"
"WSG::599","Davis Slough",6,"Zone 6"
"WSG::604","Wa'atch",1,"Zone 1"
"WSG::611","Tsoo Yess",1,"Zone 1"
"WSG::74","Musqueti",10,"Zone 10"
"WSG::97","Harper",13,"Zone 13"
