"site","zone_id","zone"
"DFO::gallagherslough",1,"Zone 1"
"DFO::portsanjuan",1,"Zone 1"
"DFO::rochecove",2,"Zone 2"
"DNWR::Dungeness Spit Base",3,"Zone 3"
"DNWR::Graveyard Spit East (Lagoon)",3,"Zone 3"
"DNWR::Graveyard Spit West (Channel)",3,"Zone 3"
"Makah::Madbear",1,"Zone 1"
"Makah::Makah Bay",1,"Zone 1"
"Makah::Neah Bay",1,"Zone 1"
"Makah::Pillar Point",1,"Zone 1"
"Makah::Tatoosh Island",1,"Zone 1"
"Makah::Tsoo-Yess River",1,"Zone 1"
"Makah::Wa'atch Point",1,"Zone 1"
"Makah::Wa'atch River",1,"Zone 1"
"Padilla+WSG::Alice Bay Sentinel Site",4,"Zone 4"
"Padilla+WSG::Big Indian Slough",4,"Zone 4"
"Padilla+WSG::Shore Trail",4,"Zone 4"
"Padilla+WSG::Sullivan Minor",4,"Zone 4"
"Padilla+WSG::Swinomish Casino Marsh",4,"Zone 4"
"Padilla+WSG::West 90 North",4,"Zone 4"
"Padilla::Bay View State Park",4,"Zone 4"
"Padilla::Big Indian Slough Mouth",4,"Zone 4"
"Padilla::Dike Island",4,"Zone 4"
"Padilla::Hat Island",4,"Zone 4"
"Padilla::Interpretive Center",4,"Zone 4"
"Padilla::Marsh Island",4,"Zone 4"
"Padilla::Samish Conservation Area",4,"Zone 4"
"Padilla::Sullivan Minor Oyster Site",4,"Zone 4"
"Padilla::Swinomish Spit",4,"Zone 4"
"Padilla::Telegraph Slough",4,"Zone 4"
"Padilla::West 90 South",4,"Zone 4"
"Padilla::West Samish Bay",4,"Zone 4"
"WDFW::3 Crabs Road",3,"Zone 3"
"WDFW::Argyle Lagoon",3,"Zone 3"
"WDFW::Bayshore",11,"Zone 11"
"WDFW::Baywater",7,"Zone 7"
"WDFW::Belfair State Park",10,"Zone 10"
"WDFW::Big Beef Harbor",9,"Zone 9"
"WDFW::Billy Frank Jr. Nisqual",11,"Zone 11"
"WDFW::Billy Frank Jr. Nisqually NWR",11,"Zone 11"
"WDFW::Bishops Point",6,"Zone 6"
"WDFW::Blakely Harbor",14,"Zone 14"
"WDFW::Boat Haven",2,"Zone 2"
"WDFW::Boat Haven Marina",6,"Zone 6"
"WDFW::Bremerton Yacht Club",12,"Zone 12"
"WDFW::Bremerton Yacht Club Lagoon",12,"Zone 12"
"WDFW::Campbell Slough",NA,NA
"WDFW::Chapman Cove",11,"Zone 11"
"WDFW::Chicken Coop Creek",5,"Zone 5"
"WDFW::Chico Creek",12,"Zone 12"
"WDFW::Chimacum Creek",6,"Zone 6"
"WDFW::Clallam River",1,"Zone 1"
"WDFW::Colony Creek",4,"Zone 4"
"WDFW::Conference Center Lagoon",9,"Zone 9"
"WDFW::Cultus Bay",7,"Zone 7"
"WDFW::Dabob Bay NAP",8,"Zone 8"
"WDFW::Davison Head",3,"Zone 3"
"WDFW::Deer Lagoon",6,"Zone 6"
"WDFW::Dewatto",10,"Zone 10"
"WDFW::Discovery Bay - South",5,"Zone 5"
"WDFW::Dosewallips",9,"Zone 9"
"WDFW::Driftwood Key Marina",7,"Zone 7"
"WDFW::Duckabush",9,"Zone 9"
"WDFW::Dungeness Landing",3,"Zone 3"
"WDFW::East Westcott Bay",3,"Zone 3"
"WDFW::Edison River",4,"Zone 4"
"WDFW::Edison Slough",4,"Zone 4"
"WDFW::Edmonds Marina",7,"Zone 7"
"WDFW::Fairmont",5,"Zone 5"
"WDFW::Fairmount Marsh",5,"Zone 5"
"WDFW::False Bay",3,"Zone 3"
"WDFW::Fidalgo Bay",4,"Zone 4"
"WDFW::Fir Island Farms",4,"Zone 4"
"WDFW::Foulweather Bluff",7,"Zone 7"
"WDFW::Gorst Creek",13,"Zone 13"
"WDFW::Gorst Lagoon",13,"Zone 13"
"WDFW::Great Peninsula Conservancy",10,"Zone 10"
"WDFW::Hama Hama",10,"Zone 10"
"WDFW::Henry Island - Eastern",3,"Zone 3"
"WDFW::Henry Island - Eastern Marsh",3,"Zone 3"
"WDFW::Henry Island Preserve",3,"Zone 3"
"WDFW::Indian Island Lagoon",6,"Zone 6"
"WDFW::Irondale Beach Park",6,"Zone 6"
"WDFW::Jimmycomelately Creek",5,"Zone 5"
"WDFW::Joe Leary",4,"Zone 4"
"WDFW::Kala Point",6,"Zone 6"
