WSG,Other
WSG::108,WDFW::Bremerton Yacht Club
WSG::128,WDFW::Nick's Lagoon
WSG::138,WDFW::Duckabush
WSG::172,WDFW::Point Julia North
WSG::198,WDFW::Discovery Bay - South
WSG::199,WDFW::Jimmycomelately Creek
WSG::201,WDFW::Indian Island Lagoon
WSG::204,WDFW::Kala Point
WSG::207,WDFW::Washington Harbor
WSG::219,WDFW::Pysht
WSG::299,WDFW::Port Susan Bay
WSG::306,WDFW::Deer Lagoon
WSG::311,WDFW::Penn Cove
WSG::380,WDFW::Fidalgo Bay
WSG::383,DNWR::Graveyard Spit East (Lagoon)
WSG::384,DNWR::Graveyard Spit West (Channel)
WSG::385,DNWR::Dungeness Spit Base
WSG::533,WDFW::Westcott Bay Marsh
WSG::553,WDFW::Blakely Harbor
WSG::604,Makah::Wa'atch Point
WSG::611,Makah::Tsoo-Yess River
