"site_name","year","detected","effort","sources","in_study_extent","zone_id","latitude","longitude","previous_year","previous_detected","previous_sources","gap"
"Big Indian Slough",2024,TRUE,88,"Padilla",TRUE,4,48.4552107608696,-122.473711282609,2023,FALSE,"Padilla; WSG, Padilla",1
"Big Indian Slough Mouth",2023,TRUE,194,"Padilla",TRUE,4,48.468352,-122.47419,2022,FALSE,"Padilla",1
"Cape Disappointment - Boat Launch",2022,TRUE,120,"WDFW; WDFW raw",FALSE,NA,46.2849258186053,-124.052274475395,2021,FALSE,"WDFW; WDFW raw",1
"Chuckanut Bay",2019,TRUE,561,"WDFW; WDFW raw; WDFW, WSG",FALSE,NA,48.6988647996798,-122.501562974389,2018,FALSE,"WSG",1
"Chuckanut Bay",2022,TRUE,348,"WDFW; WDFW raw; WDFW, WSG",FALSE,NA,48.6988647996798,-122.501562974389,2021,FALSE,"WDFW; WDFW raw; WDFW, WSG",1
"Colony Creek",2021,TRUE,158,"WDFW; WDFW raw",TRUE,4,48.5992255667361,-122.423321222604,2020,FALSE,"WDFW; WDFW raw",1
"Crandall Spit",2020,TRUE,2167,"WDFW raw; WSG",TRUE,4,48.4930814,-122.5780734,2019,FALSE,"WDFW raw; WSG",1
"Drayton Harbor",2020,TRUE,1019,"NWStraits; NWStraits, WSG",FALSE,NA,48.9735101368421,-122.749121763158,2019,FALSE,"WSG",1
"Dungeness Landing",2018,TRUE,168,"WDFW; WDFW raw; WDFW, WSG",TRUE,3,48.1500852224706,-123.137682196817,2017,FALSE,"WSG",1
"Dungeness Spit Base",2023,TRUE,4,"WSG",TRUE,3,48.1465899989571,-123.1838452898,2022,FALSE,"WSG",1
"Fairmont",2024,TRUE,82,"WDFW; WDFW raw",TRUE,5,47.9935755997227,-122.878074829832,2023,FALSE,"WDFW; WDFW raw",1
"Jimmycomelately Creek",2021,TRUE,545,"WDFW; WDFW raw; WDFW, WSG",TRUE,5,48.0233680526886,-123.006433381335,2020,FALSE,"WSG",1
"Kala Lagoon",2018,TRUE,4,"WSG",TRUE,6,48.05785,-122.7698,2017,FALSE,"WSG",1
"Lagoon Point Community",2017,TRUE,4,"WSG",TRUE,6,48.07932,-122.61137,2016,FALSE,"WSG",1
"Maynard Lagoon",2023,TRUE,146,"WDFW; WDFW raw",TRUE,5,47.9981452517164,-122.88032092912,2022,FALSE,"WDFW raw",1
