Source,SetNum,Year,Month,Day,HoursSoak,MinDepth,MaxDepth,StatArea,SubArea,GeogLoc,startLAT,startLONG,endLAT,endLONG,TrapSpacing,Comment,Sex,WidthNotch,WidthSpine,Marks,Observation,GearCode,TrapNum,TrapType,TrapUsability,Species
GL,1,2022,6,15,22,-1.4,-1.2,23,9,mayne,48.97505,-125.2885,48.97468,-125.2888,10,,,,,,,51,1,,18,848
GL,1,2022,6,15,22,-1.4,-1.2,23,9,mayne,48.97505,-125.2885,48.97468,-125.2888,10,,,,,,,51,2,,18,848
GL,1,2022,6,15,22,-1.4,-1.2,23,9,mayne,48.97505,-125.2885,48.97468,-125.2888,10,,,,,,,51,3,,18,848
GL,1,2022,6,15,22,-1.4,-1.2,23,9,mayne,48.97505,-125.2885,48.97468,-125.2888,10,,,,,,,51,4,,18,848
GL,1,2022,6,15,22,-1.4,-1.2,23,9,mayne,48.97505,-125.2885,48.97468,-125.2888,10,,,,,,,51,5,,18,848
GL,1,2022,6,15,22,-1.4,-1.2,23,9,mayne,48.97505,-125.2885,48.97468,-125.2888,10,,,,,,,51,6,,18,848
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,1,122,,,,51,1,,0,XLA
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,,,,,,51,2,,18,848
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,,,,,,51,3,,18,848
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,1,75,,11,,51,4,,0,XMB
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,1,76,,11,,51,4,,0,XMB
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,3,120,,,,51,4,,0,XLA
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,1,124,,,,51,4,,0,XLA
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,1,73,,11,,51,5,,0,XMB
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,3,129,,,,51,5,,0,XLA
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,1,72,,11,,51,6,,0,XMB
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,1,57,,11,,51,6,,0,XMB
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,3,112,,,,51,6,,0,XLA
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,1,118,,,,51,6,,0,XLA
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,3,88,,,,51,6,,0,XLA
GL,2,2022,6,15,22,-1.5,-1.1,23,9,mayne,48.97448,-125.2891,48.9746,-125.2898,10,,1,52,,11,,51,1,,0,XMB
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,46,,11,,51,6,,0,XMB
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,78,,11,,51,6,,0,XMB
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,3,53,,14,,51,6,,0,XMB
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,94,,,,51,6,,0,XLA
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,,,,,,51,5,,1,848
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,79,,11,,51,4,,0,XMB
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,73,,11,,51,4,,0,XMB
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,66,,11,,51,4,,0,XMB
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,61,,11,,51,4,,0,XMB
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,65,,11,,51,4,,0,XMB
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,3,58,,12,,51,4,,0,XMB
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,43,,12,,51,4,,0,XMB
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,78,,11,,51,3,,0,XMB
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,139,,,,51,3,,0,XLA
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,157,,,,51,3,,0,XLA
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,157,,,,51,3,,0,XLA
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,1,147,,,,51,3,,0,XLA
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,3,112,,,,51,3,,0,XLA
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,3,112,,,,51,3,,0,XLA
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,,,,,,51,2,,15,848
GL,3,2022,6,15,22,-1.1,-0.8,23,9,mayne,48.9752,-125.289,48.97478,-125.2893,10,,,,,,,51,1,,1,848
GL,4,2022,6,15,23,-1.4,-0.8,23,9,mayne,48.97452,-125.2901,48.97473,-125.2907,10,,,,,,,51,6,,18,848
GL,4,2022,6,15,23,-1.4,-0.8,23,9,mayne,48.97452,-125.2901,48.97473,-125.2907,10,,1,83,,11,,51,1,,0,XMB
GL,4,2022,6,15,23,-1.4,-0.8,23,9,mayne,48.97452,-125.2901,48.97473,-125.2907,10,,1,50,,12,,51,1,,0,XMB
