OBJECTID *,Shape *,Trap Type,Trap Number,StartLocationDate,EndLocationDate,Active,Latitude,Longitude,AllTrapLocations.GlobalID,TrapID,SiteName,LocationNotes,TrapID,CaptureDate,Sex,Width_mm,CarapColor,UnderColor,MoltStage,Gravid,Deposition,R Claw,R 1st Leg,R 2nd Leg,R 3rd Leg,R Back Leg,L Claw,L 1st Leg,L 2nd Leg,L 3rd Leg,L Back Leg,TrapEffort,EGCNotes,CrabID,All_EGCCaptures.OBJECTID
2,Point,Fukui,9,6/20/2017 8:07,6/23/2017,No,48.173887,-123.136939,{A43152AE-349C-8161-8918-282C6B5C7EFE},Fukui-9_6/20/2017 8:07:12 AM,<Null>,,Fukui-9_6/20/2017 8:07:12 AM,6/21/2017 12:33,Female,58,,Dark green,<Null>,No,c,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,6
1,Point,Fukui,2,6/20/2017 7:46,6/23/2017,No,48.17493,-123.138037,{6848AC99-07E0-27D7-4D55-52B0B5E5E348},Fukui-2_6/20/2017 7:46:57 AM,<Null>,,Fukui-2_6/20/2017 7:46:57 AM,6/21/2017 12:34,Female,53,,Dark green,<Null>,No,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,7
3,Point,Fukui,20,6/20/2017 8:28,6/23/2017,No,48.173664,-123.137434,{D2692FBC-D0A7-1901-4819-AA6D02DA69AD},Fukui-20_6/20/2017 8:28:41 AM,<Null>,,Fukui-20_6/20/2017 8:28:41 AM,6/21/2017 12:36,Male,66,,Light green,<Null>,<Null>,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,8
4,Point,Fukui,26,6/22/2017 9:55,6/23/2017,No,48.146475,-123.183779,{65925247-27E2-B50B-06E8-D5FD507368B8},Fukui-25b_6/22/17 9:55:55 AM,<Null>,30 perch and 3 large sculpin about 70mm dungie,Fukui-25b_6/22/17 9:55:55 AM,6/23/2017 8:35,Male,64,,Light green,<Null>,<Null>,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,9
7,Point,Fukui,4,6/26/2017 11:16,6/30/2017,No,48.174743,-123.137948,{D218D2C7-6CD6-3967-D26B-D451BE235C4B},Fukui-4_6/26/17 11:16:50 AM,<Null>,,Fukui-4_6/26/17 11:16:50 AM,6/27/2017 12:03,Female,43,,Dark green,<Null>,No,,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,,<Null>,10
9,Point,Fukui,10,6/26/2017 11:30,6/30/2017,No,48.173935,-123.13635,{A01B1D9D-9911-3A8D-C2C1-3AC4F58BC349},Fukui-10_6/26/17 11:30:45 AM,<Null>,,Fukui-10_6/26/17 11:30:45 AM,6/28/2017 12:15,Female,48,,Dark green,<Null>,No,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,11
5,Point,Minnow,3,6/26/2017 11:13,6/30/2017,No,48.174899,-123.137989,{1C87B7AC-E084-A114-2273-6C0130E357C4},Minnow-3_6/26/17 11:13:42 AM,<Null>,,Minnow-3_6/26/17 11:13:42 AM,6/28/2017 12:27,Male,49,,Light green,<Null>,<Null>,,Present,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,<Null>,<Null>,<Null>,12
6,Point,Minnow,4,6/26/2017 11:15,6/30/2017,No,48.174818,-123.137952,{8B78E42B-B645-AFF6-F1EE-9D3172EED76D},Minnow-4_6/26/17 11:15:52 AM,<Null>,,Minnow-4_6/26/17 11:15:52 AM,6/29/2017 13:22,Female,45,,Dark green,<Null>,No,,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,13
8,Point,Fukui,7,6/26/2017 11:24,6/30/2017,No,48.173903,-123.137066,{94AA4B18-3C9A-6E42-6FDC-22044675288C},Fukui-7_6/26/17 11:24:52 AM,<Null>,,Fukui-7_6/26/17 11:24:52 AM,6/29/2017 13:32,Female,48,,Dark green,<Null>,No,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,<Null>,<Null>,14
10,Point,Fukui,22,7/5/2017 9:14,7/7/2017 8:00,No,48.146451,-123.183745,{D36C13B5-F72B-83F1-09B3-A604A131C3C9},Fukui-22_7/5/17 9:14:03 AM,<Null>,,Fukui-22_7/5/17 9:14:03 AM,7/6/2017 9:20,Male,66,,Light green,<Null>,<Null>,Frozen,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,<Null>,hugging female,<Null>,15
