OBJECTID,TrapType,TrapNum,StartLocDate,EndLocDate,Active,Latitude,Longitude,TrapID,SiteName,LocNotes
43,Minnow,1,6/20/2017,6/23/2017,No,48.17491674,-123.1385992,Minnow-1_6/20/2017 7:43:56 AM,,
44,Fukui,1,6/20/2017,6/23/2017,No,48.17498935,-123.1385789,Fukui-1_6/20/2017 7:44:38 AM,,
45,Minnow,2,6/20/2017,6/23/2017,No,48.1750643,-123.1384705,Minnow-2_6/20/2017 7:45:18 AM,,
46,Fukui,2,6/20/2017,6/23/2017,No,48.17493026,-123.1380373,Fukui-2_6/20/2017 7:46:57 AM,,
47,Minnow,3,6/20/2017,6/23/2017,No,48.17490449,-123.137997,Minnow-3_6/20/2017 7:47:45 AM,,
48,Fukui,3,6/20/2017,6/23/2017,No,48.17486438,-123.1379787,Fukui-3_6/20/2017 7:49:07 AM,,
49,Minnow,4,6/20/2017,6/23/2017,No,48.17480926,-123.1379551,Minnow-4_6/20/2017 7:53:13 AM,,
50,Fukui,4,6/20/2017,6/23/2017,No,48.17470825,-123.1379525,Fukui-4_6/20/2017 7:54:05 AM,,
51,Minnow,5,6/20/2017,6/23/2017,No,48.17464976,-123.1380394,Minnow-5_6/20/2017 7:55:15 AM,,
52,Fukui,5,6/20/2017,6/23/2017,No,48.17459006,-123.1380069,Fukui-5_6/20/2017 7:56:26 AM,,
53,Minnow,6,6/20/2017,6/23/2017,No,48.17450049,-123.1378665,Minnow-6_6/20/2017 7:58:45 AM,,
54,Fukui,6,6/20/2017,6/23/2017,No,48.17444779,-123.1374786,Fukui-6_6/20/2017 8:01:01 AM,,
55,Minnow,7,6/20/2017,6/23/2017,No,48.17423408,-123.1372541,Minnow-7_6/20/2017 8:02:29 AM,,
56,Fukui,7,6/20/2017,6/23/2017,No,48.17406213,-123.13725,Fukui-7_6/20/2017 8:03:55 AM,,
57,Minnow,8,6/20/2017,6/23/2017,No,48.17396929,-123.137178,Minnow-8_6/20/2017 8:04:45 AM,,
58,Fukui,8,6/20/2017,6/23/2017,No,48.1739,-123.1370612,Fukui-8_6/20/2017 8:05:44 AM,,
59,Minnow,9,6/20/2017,6/23/2017,No,48.17389013,-123.1370049,Minnow-9_6/20/2017 8:06:28 AM,,
60,Fukui,9,6/20/2017,6/23/2017,No,48.17388701,-123.136939,Fukui-9_6/20/2017 8:07:12 AM,,
61,Minnow,10,6/20/2017,6/23/2017,No,48.1738802,-123.1368349,Minnow-10_6/20/2017 8:08:05 AM,,
