Crab ID,Crab #,Capture Date,Week,StartDateLocation_ForCaptureTrap,"Trap Type (Fukui, Minnow,Burrow, Hand)",Sex,Size (mm),Field Trap Loc/Number,Trap Number,TrapIDJoin,Trap Coordinates X,Trap Coordinates Y,Eggs,Missing Limb Locations,"Approximate Ventral Color (LG,DG,RO)",Molt Stage (Pre/Post/Inter),Disposition,Indiv. Pictures? (Y/N),GPS Record? ,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.45,45,6/19/2018,11,6/18/2018,Fukui,Female,55,F7,007,Fukui-007_6/18/2018,#REF!,#REF!,No,None,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,"Caught in MMP trap at site 384; On 12/3/2020, corrected the capture date to 6/19, compared weekly activities, field forms and crab pictures to confirm, also updated GIS record. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.47,47,6/26/2018,12,6/25/2018,Fukui,Male,81,F102,102,Fukui-102_6/25/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,"Trap Location/Number Formerly: F1--but really it was cosnidered F2, the GIS data had trap numbers out of order",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.48,48,6/26/2018,12,6/25/2018,Fukui,Male,87,F102,102,Fukui-102_6/25/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,"Trap Location/Number Formerly: F1--but really it was cosnidered F2, the GIS data had trap numbers out of order",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.25,25,5/15/2018,6,5/14/2018,Minnow,Male,53,M102,102,Minnow-102_5/14/2018,#REF!,#REF!,NA,None,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,Trap Location/Number Formerly: M2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.29,29,5/22/2018,7,5/21/2018,Minnow,Female,47,M102,102,Minnow-102_5/21/2018,#REF!,#REF!,No,None,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,Trap Location/Number Formerly: M2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.49,49,6/27/2018,12,6/25/2018,Fukui,Male,47,F302,302,Fukui-302_6/25/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,Trap Location/Number Formerly: P2-Fukui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.51,51,6/29/2018,12,6/25/2018,Fukui,Male,86,F302,302,Fukui-302_6/25/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,Trap Location/Number Formerly: P2-Fukui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.1,1,3/21/2018,0,3/20/2018,Fukui,Male,49,F13,013,Fukui-013_3/20/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.2,2,4/10/2018,1,4/9/2018,Minnow,Female,45,M6,006,Minnow-006_4/9/2018,#REF!,#REF!,No,L4,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,Under color is particularly difficult categorize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.3,3,4/10/2018,1,4/9/2018,Minnow,Male,39,M12,012,Minnow-012_4/9/2018,#REF!,#REF!,NA,None,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,Under color is particularly difficult categorize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.4,4,4/17/2018,2,4/16/2018,Fukui,Female,67,F8,008,Fukui-008_4/16/2018,#REF!,#REF!,No,R1,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.5,5,4/18/2018,2,4/16/2018,Minnow,Female,43,M17,017,Minnow-017_4/16/2018,#REF!,#REF!,No,None,DG/RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,Some limbs broke off when frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.6,6,4/19/2018,2,4/16/2018,Fukui,Male,70,F2,002,Fukui-002_4/16/2018,#REF!,#REF!,NA,"R1, R5, L1",RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.7,7,4/19/2018,2,4/16/2018,Fukui,Male,69,F16,016,Fukui-016_4/16/2018,#REF!,#REF!,NA,"R1, L1, L2",RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.8,8,4/24/2018,3,4/23/2018,Fukui,Male,60,F9,009,Fukui-009_4/23/2018,#REF!,#REF!,NA,None,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.9,9,4/25/2018,3,4/23/2018,Fukui,Female,44,F302,302,Fukui-302_4/23/2018,#REF!,#REF!,No,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,Some limbs broke off when frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.10,10,5/1/2018,4,4/30/2018,Fukui,Male,50,F7,007,Fukui-007_4/30/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.11,11,5/1/2018,4,4/30/2018,Fukui,Male,48,F17,017,Fukui-017_4/30/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.12,12,5/2/2018,4,4/30/2018,Fukui,Female,60,F9,009,Fukui-009_4/30/2018,#REF!,#REF!,No,R1,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.13,13,5/3/2018,4,4/30/2018,Minnow,Male,46,M3,003,Minnow-003_4/30/2018,#REF!,#REF!,NA,L4,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.14,14,5/3/2018,4,4/30/2018,Fukui,Female,62,F4,004,Fukui-004_4/30/2018,#REF!,#REF!,No,None,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.15,15,5/3/2018,4,4/30/2018,Fukui,Male,42,F15,015,Fukui-015_4/30/2018,#REF!,#REF!,NA,"R1, R4,R5",LG,Post,Frozen-USFWS transferred to WSG,Y,Y,In same trap as EGC_2018.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.16,16,5/3/2018,4,4/30/2018,Fukui,Male,47,F15,015,Fukui-015_4/30/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,In same trap as EGC_2018.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.17,17,5/8/2018,5,5/7/2018,Minnow,Female,42,M301,301,Minnow-301_5/7/2018,#REF!,#REF!,No,None,DG/RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.18,18,5/8/2018,5,5/7/2018,Fukui,Male,44,F18,018,Fukui-018_5/7/2018,#REF!,#REF!,NA,L4,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.19,19,5/8/2018,5,5/7/2018,Fukui,Male,39,F18,018,Fukui-018_5/7/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.20,20,5/8/2018,5,5/7/2018,Fukui,Female,55,F14,014,Fukui-014_5/7/2018,#REF!,#REF!,No,None,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.21,21,5/8/2018,5,5/7/2018,Minnow,Female,44,M12,012,Minnow-012_5/7/2018,#REF!,#REF!,No,None,LG/DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.22,22,5/8/2018,5,5/7/2018,Fukui,Male,39,F7,007,Fukui-007_5/7/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.23,23,5/15/2018,6,5/14/2018,Minnow,Female,57,M2,002,Minnow-002_5/14/2018,#REF!,#REF!,No,None,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.24,24,5/15/2018,6,5/14/2018,Fukui,Female,43,F5,005,Fukui-005_5/14/2018,#REF!,#REF!,No,None,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.26,26,5/17/2018,6,5/14/2018,Fukui,Male,65,F5,005,Fukui-005_5/14/2018,#REF!,#REF!,NA,None,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.27,27,5/17/2018,6,5/14/2018,Fukui,Female,47,F10,010,Fukui-010_5/14/2018,#REF!,#REF!,No,None,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.28,28,5/22/2018,7,5/21/2018,Fukui,Male,84,F4,004,Fukui-004_5/21/2018,#REF!,#REF!,NA,None,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.30,30,5/22/2018,7,5/21/2018,Fukui,Male,53,F11,011,Fukui-011_5/21/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.31,31,5/22/2018,7,5/21/2018,Fukui,Female,62,F17,017,Fukui-017_5/21/2018,#REF!,#REF!,No,None,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.32,32,5/23/2018,7,5/21/2018,Fukui,Male,70,F4,004,Fukui-004_5/21/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,Caught in same trap as 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.33,33,5/23/2018,7,5/21/2018,Fukui,Male,64,F4,004,Fukui-004_5/21/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,Caught in same trap as 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.34,34,5/23/2018,7,5/21/2018,Fukui,Male,68,F13,013,Fukui-013_5/21/2018,#REF!,#REF!,NA,None,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,Under color is particularly difficult categorize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.35,35,5/30/2018,8,5/29/2018,Fukui,Male,71,F7,007,Fukui-007_5/29/2018,#REF!,#REF!,NA,R2,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.36,36,5/30/2018,8,5/29/2018,Fukui,Male,48,F8,008,Fukui-008_5/29/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,Caught in same trap as #37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.37,37,5/30/2018,8,5/29/2018,Fukui,Female,56,F8,008,Fukui-008_5/29/2018,#REF!,#REF!,No,None,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,Caught in same trap as #36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.38,38,5/30/2018,8,5/29/2018,Fukui,Male,86,F11,011,Fukui-011_5/29/2018,#REF!,#REF!,NA,R3,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.39,39,5/31/2018,8,5/29/2018,Fukui,Male,83,F1,001,Fukui-001_5/29/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.40,40,6/5/2018,9,6/4/2018,Fukui,Male,72,F14,014,Fukui-014_6/4/2018,#REF!,#REF!,NA,L1,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.41,41,6/6/2018,9,6/4/2018,Minnow,Female,46,M3,003,Minnow-003_6/4/2018,#REF!,#REF!,No,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.42,42,6/12/2018,10,6/11/2018,Fukui,Male,77,F18,018,Fukui-018_6/11/2018,#REF!,#REF!,NA,L5,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.43,43,6/15/2018,10,6/11/2018,Fukui,Male,52,F8,008,Fukui-008_6/11/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.44,44,6/15/2018,10,6/11/2018,Fukui,Male,75,F10,010,Fukui-010_6/11/2018,#REF!,#REF!,NA,None,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.46,46,6/26/2018,12,6/25/2018,Fukui,Female,65,F16,016,Fukui-016_6/25/2018,#REF!,#REF!,No,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.50,50,6/28/2018,12,6/25/2018,Minnow,Male,52,M10,010,Minnow-010_6/25/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.52,52,7/3/2018,13,7/2/2018,Fukui,Male,81,F1,001,Fukui-001_7/2/2018,#REF!,#REF!,NA,"L1,R1",RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.53,53,7/3/2018,13,7/2/2018,Fukui,Male,41,F13,013,Fukui-013_7/2/2018,#REF!,#REF!,NA,L2,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.54,54,7/11/2018,14,7/10/2018,Fukui,Female,73,F3,003,Fukui-003_7/10/2018,#REF!,#REF!,No,None,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.55,55,7/11/2018,14,7/10/2018,Fukui,Female,41,F15,015,Fukui-015_7/10/2018,#REF!,#REF!,No,None,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.56,56,7/12/2018,14,7/10/2018,Fukui,Male,58,F14,014,Fukui-014_7/10/2018,#REF!,#REF!,NA,R1 injured,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.57,57,7/13/2018,14,7/10/2018,Fukui,Female,58,F16,016,Fukui-016_7/10/2018,#REF!,#REF!,No,None,DG,Inter,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.58,58,7/18/2018,15,7/16/2018,Minnow,Male,65,M16,016,Minnow-016_7/16/2018,#REF!,#REF!,NA,R3,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
