Crab ID,Crab #,Capture Date,Week,StartDateLocation_ForCaptureTrap,Trap Type,Sex,Size (mm),Trap Area (Field Trap Loc/Number),Trap Number,TrapIDJoin,Trap Coordinates X,Trap Coordinates Y,Eggs,Missing Limb Locations,"Approximate Ventral Color (LG,DG,RO)",Molt Stage (Pre/Post/Inter),Disposition,Indiv. Pictures? (Y/N),GPS Record? (Y/N),Recorder,Notes
EGC_2019.41,41,5/21/2019,7,5/20/2019,Fukui,Male,77,Channel,19,Fukui-19_5/20/2019,-123.1386508,48.17496041,-,"R1,L1,L3,L4",Red-orange,,Frozen,,Yes,Doug Marcoux,"5th marginal tooth on left side was eroded away, see pictures"
EGC_2019.46,46,6/21/2019,11,6/17/2019,Fukui,Male,73,Channel,4,Fukui-4_6/17/2019,-123.1370517,48.17354833,-,"L1,R4, R3 (partial)",Red-orange,,Frozen,,Yes,Laura Davis,missing last segment on R3
EGC_2019.50,50,7/30/2019,17,7/29/2019,Fukui,Male,77,Channel,8,Fukui-8_7/29/2019,-123.1363267,48.17374833,-,None,Dark Green,,Frozen,,Yes,Kathy A,Under color more yellowy
EGC_2019.1,1,4/9/2019,1,4/8/2019,Fukui,Female,70,Channel,2,Fukui-2_4/8/2019,-123.13744,48.17364167,No,-,Red-orange,,Frozen,Yes,Yes,Lorenz Sollmann,Abodmen Deformed
EGC_2019.2,2,4/9/2019,1,4/8/2019,Fukui,Male,79,Channel,3,Fukui-3_4/8/2019,-123.137335,48.17374,-,"R5, L3",Red-orange,,Frozen,Yes,Yes,Lorenz Sollmann,
EGC_2019.3,3,4/9/2019,1,4/8/2019,Fukui,Male,83,Channel,3,Fukui-3_4/8/2019,-123.137335,48.17374,-,R1,Red-orange,,Frozen,Yes,Yes,Lorenz Sollmann,"Limb damage noted by WSG, L1 had damaged dactyl"
EGC_2019.4,4,4/9/2019,1,4/8/2019,Fukui,Male,72,Channel,4,Fukui-4_4/8/2019,-123.1370517,48.17354833,-,L5,Red-orange,,Frozen,Yes,Yes,Lorenz Sollmann,Barnacle on carapace
EGC_2019.5,5,4/9/2019,1,4/8/2019,Minnow,Male,59,Channel,15,Minnow-15_4/8/2019,-123.13795,48.174595,-,None,Light Green,,Frozen,Yes,Yes,Lorenz Sollmann,
EGC_2019.6,6,4/9/2019,1,4/8/2019,Minnow,Male,67,Channel,20,Minnow-20_4/8/2019,-123.1386423,48.17479529,-,"R1, R2",Light Green,,Frozen,Yes,Yes,Lorenz Sollmann,
EGC_2019.7,7,4/18/2019,2,4/17/2019,Minnow,Female,45,Channel,2,Minnow-2_4/17/2019,-123.1374533,48.17353833,No,None,Light Green,,Frozen,Yes,Yes,Laura Davis,
