OBJECTID,Trap Type,Trap Number,Trap Set Date,Trap Pull Date,Active,Location Notes,Week,Site Name,EGC Captured?,Prospecting Trap?,MMP Trap?,TrapIDJoin,Latitude,Longitude,created_date,created_user,last_edited_date,last_edited_user,GlobalID,x,y
46,Minnow,11,20190422,20190423,No,Moved bc site became dry,3,Channel (DS-1),No,No,No,Minnow-11_4/22/2019,48.17396,-123.13716,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,708d5d3f-a0c9-48bc-b19e-78b9966d24a2,-123.13716,48.17396
47,Minnow,11,20190423,20190424,No,Moved bc site was dry upon return next day,3,Channel (DS-1),No,No,No,Minnow-11_4/23/2019,48.17400333,-123.1372067,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,14b99999-192f-4fe7-a0a6-cdb0a63d5cb7,-123.1372067,48.17400333
48,Minnow,11,20190424,20190425,No,Moved bc site was dry upon return the next day,3,Channel (DS-1),No,No,No,Minnow-11_4/24/2019,48.17407333,-123.13719,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,f9e539ec-0808-4fbc-9cee-2cf853517886,-123.13719,48.17407333
49,Minnow,11,20190425,20190426,No,Moved from previous location bc site was dry,3,Channel (DS-1),No,No,No,Minnow-11_4/25/2019,48.17379,-123.1360533,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,9e9f2920-7439-4a95-8d4a-e9937d975fce,-123.1360533,48.17379
45,Minnow,4,20190425,20190426,No,Previously further west but no water so moved it east,3,Channel (DS-1),No,No,No,Minnow-4_4/25/2019,48.1736,-123.1371517,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,b9deb65d-571e-4747-b714-cb4e6c734131,-123.1371517,48.1736
5,Minnow,1,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-1_4/17/2019,48.17339833,-123.1374467,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,06389bd3-8e8c-4784-9b86-223d0f7c7fe0,-123.1374467,48.17339833
6,Fukui,1,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-1_4/17/2019,48.17347167,-123.1374617,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,99419484-0d3c-4589-8826-9183c202716d,-123.1374617,48.17347167
8,Fukui,2,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-2_4/17/2019,48.17364167,-123.13744,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,25c059dd-0958-44c8-a79f-04b90fd84aaa,-123.13744,48.17364167
9,Minnow,3,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-3_4/17/2019,48.17373277,-123.1374177,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,8a017671-5fd4-496f-ba39-8cab2e0c3eb7,-123.1374177,48.17373276
10,Fukui,3,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-3_4/17/2019,48.17374,-123.137335,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,e95e5cc9-c368-48b6-a8d6-539f42fea604,-123.137335,48.17374
11,Minnow,4,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-4_4/17/2019,48.17366667,-123.1371417,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,9188af55-9cdd-4426-ba5c-f7250a81008f,-123.1371417,48.17366667
12,Fukui,4,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-4_4/17/2019,48.17354833,-123.1370517,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,f0f2df15-145b-497d-987d-512247571c1f,-123.1370517,48.17354833
13,Minnow,5,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-5_4/17/2019,48.17347667,-123.1370017,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,bf2c2818-86cb-4bd0-b241-57fc0edd7665,-123.1370017,48.17347667
20,Minnow,9,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-9_4/17/2019,48.173915,-123.1366617,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,3b29fc86-e1e5-4741-9484-63ee0cc30faa,-123.1366617,48.173915
21,Fukui,9,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-9_4/17/2019,48.17390167,-123.1367717,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,96b75713-7caf-4866-800f-3f9249eaaca1,-123.1367717,48.17390167
22,Minnow,10,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-10_4/17/2019,48.17389667,-123.1369133,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,de8125c2-f8b3-441f-b7a1-b694a2312292,-123.1369133,48.17389667
24,Minnow,11,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-11_4/17/2019,48.17396,-123.13713,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,d98a3ec6-f23e-4112-9060-2f07d1c0ac4f,-123.13713,48.17396
25,Fukui,11,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-11_4/17/2019,48.17421667,-123.1372333,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,c0e5f0aa-14a0-42e6-aa8e-6e6e5e339c31,-123.1372333,48.17421667
26,Minnow,12,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-12_4/17/2019,48.17430333,-123.1372833,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,d2d0f61f-0df0-45ab-b357-92319012dbd1,-123.1372833,48.17430333
27,Fukui,12,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-12_4/17/2019,48.17435667,-123.13739,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,1790739f-c582-45ca-b62e-853c3b7c9921,-123.13739,48.17435667
28,Minnow,13,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-13_4/17/2019,48.17443667,-123.137455,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,64432952-41b5-44fa-8834-63d6d88181d3,-123.137455,48.17443667
29,Fukui,13,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-13_4/17/2019,48.17451667,-123.1375483,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,016db38f-f33e-4043-9890-bce4c6d73b13,-123.1375483,48.17451667
30,Minnow,14,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-14_4/17/2019,48.174505,-123.137655,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,e35bb6db-da91-436a-825b-313237e3c8ce,-123.137655,48.174505
31,Fukui,14,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-14_4/17/2019,48.17452,-123.137825,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,d650ec03-827c-4240-a4c3-cda8120ce1c9,-123.137825,48.17452
32,Minnow,15,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-15_4/17/2019,48.174595,-123.13795,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,23432c77-97c8-4cc0-b835-0a21a60dcc19,-123.13795,48.174595
33,Fukui,15,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-15_4/17/2019,48.17463833,-123.1380017,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,2f5ee1ff-063a-4e09-9c5e-1e250a49fdb0,-123.1380017,48.17463833
34,Minnow,16,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-16_4/17/2019,48.1747,-123.1379567,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,84553b92-fd98-45bb-b026-b3c52b97d73c,-123.1379567,48.1747
35,Fukui,16,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-16_4/17/2019,48.17480333,-123.1379567,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,0186554d-1ec4-4e13-a52d-63f0d102cbc8,-123.1379567,48.17480333
36,Minnow,17,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-17_4/17/2019,48.174855,-123.1379783,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,66bf6fd1-be91-4473-a88c-10cb42f024da,-123.1379783,48.174855
37,Fukui,17,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-17_4/17/2019,48.174935,-123.13809,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,46693d12-2e65-46ee-832b-3c5bd844904a,-123.13809,48.174935
38,Minnow,18,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-18_4/17/2019,48.17493333,-123.1382133,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,ed203799-2377-4250-97fd-ec3134ee6230,-123.1382133,48.17493333
40,Minnow,19,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-19_4/17/2019,48.17506955,-123.1385865,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,dde0786b-f287-4574-9a03-8385503e22db,-123.1385865,48.17506955
41,Fukui,19,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-19_4/17/2019,48.17496041,-123.1386508,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,9755b3bd-ea3d-4903-8d2b-71b45514edd6,-123.1386508,48.17496041
42,Minnow,20,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Minnow-20_4/17/2019,48.17479529,-123.1386423,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,251d967a-8f7d-47e1-b5f5-5b86666302af,-123.1386423,48.17479529
44,Fukui,5,20190417,20190419,No,,2,Channel (DS-1),No,No,No,Fukui-5_4/17/2019,48.17338415,-123.1368828,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,672238f2-5dd4-4770-bd2a-243c588c1a8b,-123.1368828,48.17338415
53,Minnow,102,20190501,20190503,No,,4,Base Lagoon,No,No,No,Minnow-102_5/1/2019,48.146455,-123.1836617,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,f7e913cd-3f66-4eda-a920-f505eaad786f,-123.1836617,48.146455
54,Minnow,103,20190501,20190503,No,,4,Base Lagoon,No,No,No,Minnow-103_5/1/2019,48.14649253,-123.1837979,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,b24ac10c-84c0-44de-9b56-bca8e5ad57fc,-123.1837979,48.14649253
55,Fukui,102,20190501,20190503,No,,4,Base Lagoon,No,No,No,Fukui-102_5/1/2019,48.14648167,-123.1837567,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,f240a42a-34be-4323-8ea6-42c76797d17f,-123.1837567,48.14648167
56,Fukui,103,20190501,20190503,No,,4,Base Lagoon,No,No,No,Fukui-103_5/1/2019,48.14650667,-123.1838867,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,08b2d821-447d-43b9-b140-adfcd9a89563,-123.1838867,48.14650667
57,Minnow,1,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-1_5/1/2019,48.17339833,-123.1374467,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,2c62add9-781c-4830-abce-5a917dd81896,-123.1374467,48.17339833
58,Fukui,1,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-1_5/1/2019,48.17347167,-123.1374617,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,2b81746a-51f4-4c5b-8c01-3bd25f3c1d2c,-123.1374617,48.17347167
60,Fukui,2,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-2_5/1/2019,48.17364167,-123.13744,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,78861c20-4079-4aa3-9b11-fd546d5c8580,-123.13744,48.17364167
61,Minnow,3,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-3_5/1/2019,48.17373277,-123.1374177,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,48430931-0042-4c08-865d-dc2bd4d946ed,-123.1374177,48.17373276
62,Fukui,3,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-3_5/1/2019,48.17374,-123.137335,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,6a00486d-d666-4ce4-b7c0-22a0722bb9f3,-123.137335,48.17374
63,Fukui,4,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-4_5/1/2019,48.17354833,-123.1370517,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,ef2e361a-5cf6-4b44-812f-c823dd041792,-123.1370517,48.17354833
64,Minnow,5,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-5_5/1/2019,48.17347667,-123.1370017,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,fb9d6e27-9ca3-49e3-91a9-be1ba0c6fe19,-123.1370017,48.17347667
65,Minnow,6,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-6_5/1/2019,48.173485,-123.136645,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,4765edf6-968c-4a5e-baa3-8c0d934e001e,-123.136645,48.173485
66,Fukui,6,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-6_5/1/2019,48.173555,-123.1366017,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,bc62b8ef-1f15-48e0-8222-ff0aa15a12db,-123.1366017,48.173555
67,Minnow,7,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-7_5/1/2019,48.17363667,-123.1365433,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,0a8c9d3b-db02-4fc4-a0af-a5d1b0560fd2,-123.1365433,48.17363667
68,Fukui,7,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-7_5/1/2019,48.173705,-123.1364833,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,de0d3e7f-a7c5-4cc4-8b21-56928f4d4a22,-123.1364833,48.173705
