Effort Type,Year,Month,Date Deployed,Location,Site Code,Trap Type,Trap Number,Bait Type,Latitude,Longitude,Date Retrieved,Count of EGC,Male,Female,Gravid,Comments
ON EFFORT,2018,April,4/25/2018,Neah Bay,NEB,FUKUI,83,HERRING,48.37495,-124.62834,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Neah Bay,NEB,FUKUI,85,HERRING,48.37474,-124.62829,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Neah Bay,NEB,FUKUI,86,HERRING,48.36972,-124.62299,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Neah Bay,NEB,FUKUI,87,HERRING,48.36992,-124.62323,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Neah Bay,NEB,MINNOW,11,HERRING,48.37466,-124.62833,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Neah Bay,NEB,MINNOW,13,HERRING,48.37466,-124.62823,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Neah Bay,NEB,MINNOW,14,HERRING,48.36985,-124.62309,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Neah Bay,NEB,MINNOW,16,HERRING,48.3696,-124.62289,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,FUKUI,26,HERRING,48.32063,-124.65649,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,FUKUI,27,HERRING,48.32065,-124.65789,4/26/2018,2,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,FUKUI,28,HERRING,48.32108,-124.65702,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,FUKUI,41,HERRING,48.32066,-124.65699,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,FUKUI,78,HERRING,48.31136,-124.65598,4/26/2018,0,,,0,
ON EFFORT,2018,April,4/25/2018,Tsoo-Yess River,TSOO,FUKUI,79,HERRING,48.31159,-124.65635,4/26/2018,0,,,0,
