Year,Month,Trap_Type,Location,Effort,Catch,Latitude,Longitude
2019,April,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2019,April,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2019,May,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2019,May,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2019,June,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2019,June,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2019,July,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2019,July,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2019,August,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2019,August,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2019,September,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2019,September,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2020,May,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2020,May,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2020,June,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2020,June,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2020,July,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2020,July,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2020,August,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2020,August,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2020,September,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2020,September,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2021,April,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2021,April,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2021,May,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2021,May,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2021,June,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2021,June,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2021,July,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2021,July,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2021,August,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2021,August,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2021,September,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2021,September,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2022,April,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2022,April,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2022,May,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2022,May,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2022,June,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2022,June,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2022,July,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2022,July,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2022,August,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2022,August,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2022,September,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2022,September,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2023,April,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2023,April,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2023,May,Fukui,Alice Bay Sentinel Site,6,0,48.556638,-122.486886
2023,May,Minnow,Alice Bay Sentinel Site,6,0,48.556638,-122.486886
2023,June,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2023,June,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2023,July,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2023,July,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2023,August,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2023,August,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2023,September,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2023,September,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2024,April,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2024,April,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2024,May,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2024,May,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2024,June,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2024,June,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2024,July,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2024,July,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2024,August,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2024,August,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2024,September,Fukui,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2024,September,Minnow,Alice Bay Sentinel Site,3,0,48.556638,-122.486886
2019,July,Fukui,Bay View State Park,3,0,48.487391,-122.484662
2019,July,Minnow,Bay View State Park,3,0,48.487391,-122.484662
2021,August,Fukui,Bay View State Park,3,0,48.487391,-122.484662
2021,August,Minnow,Bay View State Park,3,0,48.487391,-122.484662
2022,April,Fukui,Bay View State Park,3,0,48.487391,-122.484662
2022,April,Minnow,Bay View State Park,3,0,48.487391,-122.484662
2019,May,Fukui,Big Indian Slough Mouth,3,0,48.468352,-122.47419
2019,May,Minnow,Big Indian Slough Mouth,3,0,48.468352,-122.47419
2019,August,Fukui,Big Indian Slough Mouth,3,0,48.468352,-122.47419
2019,August,Minnow,Big Indian Slough Mouth,3,0,48.468352,-122.47419
2021,June,Fukui,Big Indian Slough Mouth,61,3,48.468352,-122.47419
2021,June,Minnow,Big Indian Slough Mouth,103,1,48.468352,-122.47419
2021,July,Fukui,Big Indian Slough Mouth,3,0,48.468352,-122.47419
2021,July,Minnow,Big Indian Slough Mouth,3,0,48.468352,-122.47419
2021,August,Fukui,Big Indian Slough Mouth,20,0,48.468352,-122.47419
