Effort_Type,Date_Deployed,Date_Retrieved,StartTime_Deployed,EndTime_Deployed,StartTime_Retrieved,EndTime_Retrieved,Weather,Personnel,Management_Area,Waterbody,Site_ID,Site_Name,Site_Info,County,Trap_Effort,Trap_Type,Trap_Number,Trap_Info,Bait,Latitude,Longitude,Date_Checked,CAMA_Total,CAMA_Male,CAMA_Female,HEOR,LEAR,HENU,GAAC,CYAG,MEMA,PAHI,PAGR,COAS,OLMA,FLAT,PLST,BAAT,NASS,BROK,SAND,BUBB,ILOB,JELL,TECH,ELFS,MEGR,CAPR,Other_Bycatch,Mortalities,Notes,Data_Source,TrackedChanges,,,,,,,,
Assessment,7/16/2018,7/17/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,East channel,Clallam,64,Fukui,11,-,Mackerel,48.15055,-123.13523,7/17/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,East channel,Clallam,64,Fukui,12,-,Mackerel,48.15132,-123.13509,7/17/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,East channel,Clallam,64,Fukui,13,-,Mackerel,48.15155,-123.13469,7/17/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CYAG-1,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/17/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,East channel,Clallam,64,Fukui,14,-,Mackerel,48.15219,-123.13380,7/17/2018,0,0,0,2,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-15; MEMA-1,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/17/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,East channel,Clallam,64,Fukui,15,-,Mackerel,48.15155,-123.13404,7/17/2018,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-2,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/17/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,East channel,Clallam,64,Fukui,16,-,Mackerel,48.15150,-123.13376,7/17/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,East channel,Clallam,64,Minnow,666,-,Mackerel,48.15146,-123.13489,7/17/2018,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-8,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,East channel,Clallam,64,Minnow,678,-,Mackerel,48.15114,-123.13524,7/17/2018,0,0,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GAAC-1; LEAR-5,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,East channel,Clallam,64,Minnow,679,-,Mackerel,48.15128,-123.13459,7/17/2018,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-1,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
Assessment,7/16/2018,7/18/2018,11:15,15:40,8:45,13:00,Sunny,"WDFW: Chelsey Buffington; Jamestown S'Klallam: Neil Harrington, Rylan MacDonald; Dungeness Beach Association: Mark Wegehaupt, Bob Boekelheide",Strait of Juan de Fuca,Dungeness Bay,214,Dungeness Landing,East channel,Clallam,64,Minnow,680,-,Mackerel,48.15146,-123.13459,7/17/2018,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEAR-8,-,WDFW,"Changed combined ""East/West Dungeness Landing"" into one site name of ""Dungeness Landing"", added site info, updated trap effort - CB 1/27/22; Changed management area from ""Eastern Strait of Juan de Fuca"" to ""Strait of Juan de Fuca"" to standardize 2022 derived EGC Management Area boundaries - CB 11/7/2022",,,,,,,,
