objectid,GlobalID,Trap Number,Total Male,Total Female,Total Catch,Site Name,Effort Type,Total Gravid,Trap Type,Set Date and Time,Date and time of Trap being removed.,Acquisition Date,Management Area,Version Used,x,y
30166,c2dd6481-e486-4a25-a0a6-ef19c5467406,1191,0,0,0,Salt Creek,Assessment,0,Shrimp,4/16/2024 18:11,4/18/2024 17:26,04/16/2024 18:11:41.295,,WDFW,-123.7054189,48.16189742
28506,742ba98b-855f-40a0-bef7-d007a7a30174,1298,0,0,0,McKinley Lagoon,Rapid Response,0,Minnow,9/11/2023 16:36,9/13/2023 14:53,09/11/2023 17:15:46.083,Eastern Strait and Admiralty Inlet,DFW,-123.4713934,48.13246729
34079,07b26de4-d968-4a16-92e1-e6e28f002674,1923,0,0,0,Hama Hama,Early Detection,0,Fukui,7/31/2024 16:21,8/2/2024 15:56,07/31/2024 16:21:10.295,,WDFW,-123.0383158,47.54592698
21273,19f005f7-044a-4b91-afee-bcb544dc20f6,547,0,0,0,Nick's Lagoon,Rapid Response,,Fukui,5/25/2022 11:45,5/27/2022 12:00,02/28/2023 05:30:15.240,Hood Canal,DFW,-122.837095,47.637893
33083,30c1d7cd-7ab2-4ca8-8d07-1a113a8695f5,1373,0,0,0,Nick's Lagoon,Assessment,0,Minnow,7/8/2024 20:07,7/10/2024 21:10,07/08/2024 20:07:53.295,,WDFW,-122.8381818,47.63880531
22933,29bf60f4-1b0e-49f1-9f26-6d19e249a578,0425,4,3,7,Ocean Shores Airport,Assessment,0,Minnow,3/28/2023 19:46,3/30/2023 19:05,03/28/2023 19:47:16.270,Grays Harbor,DFW,-124.1381776,47.00023595
16767,334efe6e-a160-4772-9385-3925fd7f1ec6,187-P,0,0,0,Grays Harbor NWR,Assessment,,Minnow,6/14/2021 12:05,6/16/2021 9:00,02/28/2023 05:30:15.240,Grays Harbor,DFW,-123.924882,46.981478
33415,22e3c18a-f597-42b6-aa0d-3c9214d59013,0501,0,0,0,Dungeness Landing,Assessment,0,Shrimp,7/22/2024 16:29,7/24/2024 18:07,07/22/2024 16:29:29.295,,WDFW,-123.1381192,48.14977974
33676,aa5d2efb-65e0-4728-9145-c2f70ac60e93,0748,0,0,0,3 Crabs Road,Assessment,0,Shrimp,7/22/2024 18:47,7/25/2024 18:43,07/22/2024 18:47:39.295,,WDFW,-123.1212635,48.15141791
18688,069fc883-626f-4165-a173-e9d85a04a000,1496-R,0,0,0,North,Removal,,Fukui,8/2/2021 8:00,8/4/2021 7:40,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.754802,48.988587
17099,7e69a371-3137-4055-b089-205ec85086a1,1381-P,0,0,0,Copalis,Assessment,,Minnow,7/28/2021 11:40,7/29/2021 9:35,02/28/2023 05:30:15.240,South Central Coast,DFW,-124.174612,47.115262
24925,c191148a-fde2-4514-b3a9-e9ad2f75c2dc,1223,0,0,0,Ocean Shores Airport,Assessment,0,Minnow,6/6/2023 15:21,6/8/2023 17:37,06/06/2023 15:21:18.276,Grays Harbor,DFW,-124.1427412,47.00507418
25257,6a4a835a-96b4-450a-81c0-6fd6c112de8c,1753,0,0,0,Ocean Shores Airport,Assessment,0,Fukui,6/20/2023 14:51,6/22/2023 16:26,06/20/2023 14:52:28.123,Grays Harbor,DFW,-124.1427917,47.00629833
18356,eeb2d9f0-da7a-4c4d-98f0-b99f6207c6d7,145-Y,0,0,0,Drayton Harbor Oyster C,Removal,,Fukui,6/29/2021 15:00,6/30/2021 15:55,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.757524,48.980937
13115,bcf1c84e-b783-4c25-9cb6-6f735bf8c8c9,1147,0,1,1,North,Control,,Fukui,7/6/2020 10:55,7/10/2020 12:45,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.755304,48.988945
13518,60dc9bbd-afa9-40e8-8a1d-0c97d7b5fa82,98-P,0,0,0,North,Control,,Minnow,8/3/2020 10:10,8/7/2020 12:15,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.754407,48.988894
13779,ae2b405b-9c6d-4de5-9e07-3eb23a0435b8,572-P,0,0,0,North,Control,,Fukui,8/19/2020 10:05,8/20/2020 10:45,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.754611,48.988908
13850,341c5e46-1309-47be-9170-646c8894ff8a,1068-B,0,0,0,North,Control,,Minnow,8/27/2020 9:00,8/28/2020 7:30,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.754141,48.989577
17360,d4940b07-8ad5-42c0-abf0-d16c690ac162,1452-R,0,0,0,North,Removal,,Fukui,4/12/2021 10:19,4/16/2021 12:00,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.75504,48.988736
22601,d5638e42-6176-4e1d-a16f-b322c380577d,2160,0,0,0,South,Assessment,,Minnow,8/22/2022 9:35,8/25/2022 7:55,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.57725,48.46441
22269,8a42b56c-ed52-43f3-ba34-b825c055a9e3,1111,0,0,0,North,Assessment,,Fukui,8/22/2022 10:00,8/24/2022 10:32,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.57536,48.49389
12522,616891a3-2423-4835-8b1e-71c64cd93ceb,1397-P,0,0,0,Northeast,Assessment,,Minnow,9/2/2020 9:05,9/3/2020 8:20,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.49017,48.5367
36664,680dcade-2e26-43cb-b86d-d76b4b43d577,2516,0,0,0,Blakely Harbor,Early Detection,0,Fukui,9/25/2024 17:10,9/26/2024 16:53,09/25/2024 17:10:32.295,,WDFW,-122.516472,47.59747866
13447,571da6c9-89d2-44ee-bd8d-07e2fe43d74a,1366-P,0,0,0,Drayton Harbor Oyster C,Assessment,,Minnow,7/29/2020 8:53,7/31/2020 8:00,02/28/2023 05:30:15.240,North Puget Sound,DFW,-122.757535,48.980319
23597,c057fc14-5bbd-447a-99ac-e703daaaf2bf,1509,0,0,0,Big Beef Harbor,Assessment,0,Fukui,5/9/2023 17:59,5/11/2023 20:36,05/09/2023 18:10:49.327,Hood Canal,DFW,-122.7819839,47.65579916
